I, [2020-01-05T09:00:45.051682 #11055]  INFO -- Kitchen: -----> Starting Test Kitchen (v2.3.4)
E, [2020-01-05T09:00:45.051931 #11055] ERROR -- Kitchen: ------Exception-------
E, [2020-01-05T09:00:45.051960 #11055] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2020-01-05T09:00:45.051975 #11055] ERROR -- Kitchen: Message: Kitchen YAML file /root/Broad-Hyd-Nov-Dec-2019/Chef/SreeniM/chef-repo/kitchen.yml does not exist.
E, [2020-01-05T09:00:45.051989 #11055] ERROR -- Kitchen: ----------------------
E, [2020-01-05T09:00:45.052000 #11055] ERROR -- Kitchen: ------Backtrace-------
E, [2020-01-05T09:00:45.052012 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2020-01-05T09:00:45.052060 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:154:in `data'
E, [2020-01-05T09:00:45.052075 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:132:in `suites'
E, [2020-01-05T09:00:45.052087 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:184:in `filter_instances'
E, [2020-01-05T09:00:45.052099 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:143:in `build_instances'
E, [2020-01-05T09:00:45.052110 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:117:in `instances'
E, [2020-01-05T09:00:45.052121 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2020-01-05T09:00:45.052133 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2020-01-05T09:00:45.052144 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command/action.rb:35:in `block in call'
E, [2020-01-05T09:00:45.052156 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.6.0/benchmark.rb:293:in `measure'
E, [2020-01-05T09:00:45.052167 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command/action.rb:34:in `call'
E, [2020-01-05T09:00:45.052179 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/cli.rb:52:in `perform'
E, [2020-01-05T09:00:45.052190 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2020-01-05T09:00:45.052201 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2020-01-05T09:00:45.052212 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2020-01-05T09:00:45.052223 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2020-01-05T09:00:45.052235 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2020-01-05T09:00:45.052246 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/bin/kitchen:13:in `block in <top (required)>'
E, [2020-01-05T09:00:45.052258 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2020-01-05T09:00:45.052269 #11055] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/bin/kitchen:13:in `<top (required)>'
E, [2020-01-05T09:00:45.052280 #11055] ERROR -- Kitchen: /bin/kitchen:353:in `load'
E, [2020-01-05T09:00:45.052291 #11055] ERROR -- Kitchen: /bin/kitchen:353:in `<main>'
E, [2020-01-05T09:00:45.052302 #11055] ERROR -- Kitchen: ----End Backtrace-----
