I, [2020-01-05T06:08:23.653105 #7522]  INFO -- Kitchen: -----> Starting Test Kitchen (v2.3.4)
E, [2020-01-05T06:08:23.653355 #7522] ERROR -- Kitchen: ------Exception-------
E, [2020-01-05T06:08:23.653383 #7522] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2020-01-05T06:08:23.653397 #7522] ERROR -- Kitchen: Message: Kitchen YAML file /root/Broad-Hyd-Nov-Dec-2019/Chef/rajesh/chef-repo/cookbooks/kitchen.yml does not exist.
E, [2020-01-05T06:08:23.653409 #7522] ERROR -- Kitchen: ----------------------
E, [2020-01-05T06:08:23.653420 #7522] ERROR -- Kitchen: ------Backtrace-------
E, [2020-01-05T06:08:23.653430 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2020-01-05T06:08:23.653441 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:154:in `data'
E, [2020-01-05T06:08:23.653451 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:132:in `suites'
E, [2020-01-05T06:08:23.653461 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:184:in `filter_instances'
E, [2020-01-05T06:08:23.653471 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:143:in `build_instances'
E, [2020-01-05T06:08:23.653481 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:117:in `instances'
E, [2020-01-05T06:08:23.653491 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2020-01-05T06:08:23.653516 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2020-01-05T06:08:23.653528 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command/action.rb:35:in `block in call'
E, [2020-01-05T06:08:23.653538 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.6.0/benchmark.rb:293:in `measure'
E, [2020-01-05T06:08:23.653548 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command/action.rb:34:in `call'
E, [2020-01-05T06:08:23.653561 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/cli.rb:52:in `perform'
E, [2020-01-05T06:08:23.653571 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2020-01-05T06:08:23.653581 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2020-01-05T06:08:23.653592 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2020-01-05T06:08:23.653602 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2020-01-05T06:08:23.653612 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2020-01-05T06:08:23.653622 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/bin/kitchen:13:in `block in <top (required)>'
E, [2020-01-05T06:08:23.653632 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2020-01-05T06:08:23.653642 #7522] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/bin/kitchen:13:in `<top (required)>'
E, [2020-01-05T06:08:23.653652 #7522] ERROR -- Kitchen: /bin/kitchen:353:in `load'
E, [2020-01-05T06:08:23.653662 #7522] ERROR -- Kitchen: /bin/kitchen:353:in `<main>'
E, [2020-01-05T06:08:23.653672 #7522] ERROR -- Kitchen: ----End Backtrace-----
